,name,youtube,avg_hashtag,avg_comment,avg_self_comment,post_interval,ppl_img_ratio,comment_user_num,lang_ratio
58,yammoo00,UCO61Rl-jslhyeenfjt-NO4w,0.5,23.4,9.2,0.217391304,0,"{'comment1': 166, 'comment2': 20, 'comment3': 5, 'comment4': 2, 'comment5': 1, 'comment6': 0, 'comment7': 0, 'comment8': 0, 'comment9': 0, 'comment10': 0, 'over_10': 0}","{'ko': '91.88', 'emoji': '8.12'}"
59,oe_day,UCOHDZh9KGoFxmqq6tg-Cykg,0,28,153.7,0.625,1,"{'comment1': 73, 'comment2': 21, 'comment3': 8, 'comment4': 4, 'comment5': 3, 'comment6': 1, 'comment7': 1, 'comment8': 1, 'comment9': 2, 'comment10': 0, 'over_10': 2}","{'ko': '91.07', 'emoji': '8.93'}"
60,wadism,UCOHYlves6oxhyIQBRIIpPTQ,0.7,99.2,0,1.25,0.33,"{'comment1': 879, 'comment2': 60, 'comment3': 13, 'comment4': 5, 'comment5': 0, 'comment6': 0, 'comment7': 0, 'comment8': 0, 'comment9': 0, 'comment10': 0, 'over_10': 1}","{'ko': '95.64', 'emoji': '4.36'}"
61,kokomimi77,UCOMG2V-vUgYX0aHiBDbBTyg,0,9.1,6.1,0.238095238,0.2,"{'comment1': 23, 'comment2': 6, 'comment3': 5, 'comment4': 4, 'comment5': 1, 'comment6': 0, 'comment7': 1, 'comment8': 0, 'comment9': 0, 'comment10': 0, 'over_10': 1}","{'ko': '95.60', 'emoji': '4.40'}"
62,hoon2136,UCP7p2SX81x6hEXnmVDCPR7g,24.3,6.6,29.8,1.25,0,"{'comment1': 34, 'comment2': 4, 'comment3': 1, 'comment4': 2, 'comment5': 0, 'comment6': 0, 'comment7': 0, 'comment8': 0, 'comment9': 0, 'comment10': 0, 'over_10': 1}","{'ko': '90.91', 'emoji': '9.09'}"
63,smitruti1010,UCPVjwwmDpE6f3n9Ck2oaNTw,0,218.4,0,5,0.24,"{'comment1': 1698, 'comment2': 152, 'comment3': 26, 'comment4': 2, 'comment5': 0, 'comment6': 0, 'comment7': 0, 'comment8': 0, 'comment9': 0, 'comment10': 0, 'over_10': 1}","{'ko': '95.42', 'emoji': '4.58'}"
64,soy_asmr,UCPpYonu8HMQCvNVcG2xYgwA,0.8,34,85,0.25,0.73,"{'comment1': 136, 'comment2': 36, 'comment3': 13, 'comment4': 7, 'comment5': 1, 'comment6': 4, 'comment7': 0, 'comment8': 0, 'comment9': 0, 'comment10': 0, 'over_10': 2}","{'ko': '87.06', 'emoji': '12.94'}"
65,autosonics_k,UCQdekhc-rky81G-0Xfng4lg,6,3.4,14.4,0.0269541779,0.09,"{'comment1': 22, 'comment2': 1, 'comment3': 1, 'comment4': 0, 'comment5': 0, 'comment6': 0, 'comment7': 1, 'comment8': 0, 'comment9': 0, 'comment10': 0, 'over_10': 0}","{'ko': '97.06', 'emoji': '2.94'}"
66,minhwa.g,UCQeXy0FwvVQD1o0axg6x42A,0.2,109.6,81.7,0.588235294,0.1,"{'comment1': 600, 'comment2': 110, 'comment3': 22, 'comment4': 14, 'comment5': 6, 'comment6': 6, 'comment7': 5, 'comment8': 3, 'comment9': 1, 'comment10': 0, 'over_10': 1}","{'ko': '97.63', 'emoji': '2.37'}"
67,kimbbomami,UCRhdSOsdo7upnTIP7tObYnw,4.4,10.3,44.6,10,0.92,"{'comment1': 159, 'comment2': 35, 'comment3': 16, 'comment4': 3, 'comment5': 5, 'comment6': 4, 'comment7': 1, 'comment8': 3, 'comment9': 0, 'comment10': 0, 'over_10': 1}","{'ko': '97.37', 'emoji': '2.63'}"
68,eunbar,UCS5qmPFj36fK7fML6gYcZSQ,2.9,16.1,43.4,0.384615385,0.4,"{'comment1': 67, 'comment2': 10, 'comment3': 1, 'comment4': 3, 'comment5': 2, 'comment6': 3, 'comment7': 1, 'comment8': 1, 'comment9': 0, 'comment10': 0, 'over_10': 1}","{'ko': '80.75', 'emoji': '19.25'}"
69,on_do__,UCSn90DAxCF3yRs6mFK0-8TA,0.1,88.9,0,1.25,0.28,"{'comment1': 620, 'comment2': 82, 'comment3': 17, 'comment4': 4, 'comment5': 1, 'comment6': 0, 'comment7': 1, 'comment8': 0, 'comment9': 0, 'comment10': 0, 'over_10': 2}","{'ko': '84.14', 'emoji': '15.86'}"
70,diana_kct,UCSw7Ts6UNnjnuzpwvUC6QTw,0.9,2,1.3,0.108695652,0.12,"{'comment1': 7, 'comment2': 0, 'comment3': 1, 'comment4': 0, 'comment5': 2, 'comment6': 0, 'comment7': 0, 'comment8': 0, 'comment9': 0, 'comment10': 0, 'over_10': 0}","{'ko': '65.00', 'emoji': '35.00'}"
