,name,youtube,avg_hashtag,avg_comment,avg_self_comment,post_interval,ppl_img_ratio,comment_user_num,lang_ratio,avg_likes,num_of_posts,followers,following,bio_url,avg_like_follower_ratio,promoter_index,id_concentration
23,chuther_moon,UCacrG7qkY0tNtR5s4Fe_FXg,1.6,26.0,1.5,0.3333333333333333,0.89,"{'comment1': 145, 'comment2': 24, 'comment3': 5, 'comment4': 3, 'comment5': 0, 'comment6': 4, 'comment7': 0, 'comment8': 0, 'comment9': 0, 'comment10': 0, 'over_10': 1}","{'ko': '85.77', 'emoji': '14.23'}",2534.3,151,27624,146,bit.ly/309WZ3N,0.09,0,1.4285714285714286
24,yeseul0104,UCbDeLCyqxaZnLZDYpd5rnrA_1,0.0,66.0,0.0,2.5,0.67,"{'comment1': 449, 'comment2': 46, 'comment3': 9, 'comment4': 2, 'comment5': 3, 'comment6': 2, 'comment7': 3, 'comment8': 1, 'comment9': 1, 'comment10': 0, 'over_10': 1}","{'ko': '93.94', 'emoji': '6.06'}",8142.3,473,182582,4,,0.04,5,1.2765957446808511
25,youlakk,UCgDlijNPh7yHQNv0YdL11fQ,0.1,80.2,0.1,0.9090909090909092,1.0,"{'comment1': 582, 'comment2': 71, 'comment3': 13, 'comment4': 2, 'comment5': 3, 'comment6': 0, 'comment7': 1, 'comment8': 0, 'comment9': 1, 'comment10': 0, 'over_10': 0}","{'ko': '98.00', 'emoji': '2.00'}",4943.0,567,68571,2,,0.07,0,1.1916790490341753
26,minhotaurs,UCiiC3grOarOVIg5LZgXJnWw,2.7,7.8,2.6,0.027027027027027032,0.41,"{'comment1': 33, 'comment2': 4, 'comment3': 2, 'comment4': 1, 'comment5': 0, 'comment6': 0, 'comment7': 0, 'comment8': 0, 'comment9': 0, 'comment10': 0, 'over_10': 1}","{'ko': '98.72', 'emoji': '1.28'}",83.1,17,897,156,,0.09,0,1.9024390243902438
27,real_quaddurup,UCkQCwnkQfgSuPTTnw_Y7v7w,0.4,76.5,0.0,0.9090909090909092,0.64,"{'comment1': 381, 'comment2': 73, 'comment3': 19, 'comment4': 5, 'comment5': 7, 'comment6': 4, 'comment7': 2, 'comment8': 1, 'comment9': 4, 'comment10': 3, 'over_10': 1}","{'ko': '96.60', 'emoji': '3.40'}",3578.3,165,99484,318,www.zbkstore.com/product/detail.html?product_no=50&cate_no=62&display_group=1,0.04,4,1.53
28,pik4chu_44,UCkQWAIUktzea2l8xT1GyVSg,0.2,3.5,1.3,0.078125,0.32,"{'comment1': 10, 'comment2': 1, 'comment3': 2, 'comment4': 1, 'comment5': 0, 'comment6': 0, 'comment7': 0, 'comment8': 0, 'comment9': 0, 'comment10': 0, 'over_10': 1}",{'ko': '100.00'},47.8,24,754,367,www.youtube.com/channel/UCkQWAIUktzea2l8xT1GyVSg,0.06,0,2.3333333333333335
29,sojin282,UClSFlUAMQ-Yv002g8LlCqgQ,0.2,22.1,0.2,0.3703703703703704,0.82,"{'comment1': 120, 'comment2': 28, 'comment3': 13, 'comment4': 0, 'comment5': 0, 'comment6': 1, 'comment7': 0, 'comment8': 0, 'comment9': 0, 'comment10': 0, 'over_10': 0}","{'ko': '90.95', 'emoji': '9.05'}",2186.2,106,69233,10,,0.03,1,1.3641975308641976
30,psj9434,UCnNfsLEukKS1ExbQ4HyGjBA_1,0.2,14.7,0.4,0.021739130434782608,0.25,"{'comment1': 124, 'comment2': 5, 'comment3': 3, 'comment4': 1, 'comment5': 0, 'comment6': 0, 'comment7': 0, 'comment8': 0, 'comment9': 0, 'comment10': 0, 'over_10': 0}","{'ko': '91.84', 'emoji': '8.16'}",4112.7,7,46981,47,m.facebook.com/yeoseok1,0.09,0,1.105263157894737
31,redtomatotube,UCqeOY0kedIjM9cfuBes4BSQ,0.7,5.3,0.0,0.4,0.09,"{'comment1': 31, 'comment2': 5, 'comment3': 1, 'comment4': 1, 'comment5': 1, 'comment6': 0, 'comment7': 0, 'comment8': 0, 'comment9': 0, 'comment10': 0, 'over_10': 0}","{'ko': '84.91', 'emoji': '15.09'}",147.8,597,6802,20,www.youtube.com/user/briojae,0.02,0,1.394736842105263
32,owlsreview,UCrBpV_pG2kyMMEHCMTNzjAQ,0.9,3.2,0.8,0.043478260869565216,0.3,"{'comment1': 8, 'comment2': 3, 'comment3': 0, 'comment4': 1, 'comment5': 0, 'comment6': 1, 'comment7': 0, 'comment8': 1, 'comment9': 0, 'comment10': 0, 'over_10': 0}","{'ko': '93.75', 'emoji': '6.25'}",25.3,42,359,53,www.youtube.com/Owlsreview,0.07,0,2.4615384615384617
33,moayowagon,UCtJpqaQ0XAmX5uYZ48crOdQ,0.4,37.1,0.5,0.05025125628140704,0.3,"{'comment1': 173, 'comment2': 49, 'comment3': 16, 'comment4': 4, 'comment5': 3, 'comment6': 2, 'comment7': 0, 'comment8': 0, 'comment9': 1, 'comment10': 0, 'over_10': 0}","{'ko': '96.23', 'emoji': '3.77'}",497.1,33,2944,7,,0.17,0,1.4959677419354838
34,hong_cinema,UCtwxuughKbSAV0e4bnz4ORg,2.4,24.4,9.3,0.04048582995951417,0.0,"{'comment1': 33, 'comment2': 10, 'comment3': 5, 'comment4': 4, 'comment5': 5, 'comment6': 1, 'comment7': 0, 'comment8': 0, 'comment9': 0, 'comment10': 2, 'over_10': 2}",{'ko': '100.00'},83.3,21,456,1,,0.18,0,3.935483870967742
35,mom_zzz_official,UCxgAdCqJvjvrF7LNqSAgzSg,6.5,14.3,0.0,0.3225806451612903,0.5,"{'comment1': 84, 'comment2': 12, 'comment3': 7, 'comment4': 1, 'comment5': 2, 'comment6': 0, 'comment7': 0, 'comment8': 0, 'comment9': 0, 'comment10': 0, 'over_10': 0}","{'ko': '81.12', 'emoji': '18.88'}",1509.2,84,18527,1,bit.ly/2S6fEKI,0.08,0,1.361904761904762
36,magicianjhl,UCxp9XKFw-lMTlIa_2yrfdqQ,1.0,19.0,0.0,0.4166666666666667,0.67,"{'comment1': 80, 'comment2': 13, 'comment3': 6, 'comment4': 2, 'comment5': 4, 'comment6': 1, 'comment7': 1, 'comment8': 2, 'comment9': 1, 'comment10': 0, 'over_10': 0}","{'ko': '90.53', 'emoji': '9.47'}",317.5,353,4553,299,www.youtube.com/channel/UCxp9XKFw-lMTlIa_2yrfdqQ,0.07,0,1.7431192660550459
37,koktv_official,UCybPxZoFDPR1qbN04daAc2g,6.6,3.8,0.7,0.5555555555555556,1.0,"{'comment1': 22, 'comment2': 2, 'comment3': 0, 'comment4': 0, 'comment5': 1, 'comment6': 0, 'comment7': 1, 'comment8': 0, 'comment9': 0, 'comment10': 0, 'over_10': 0}","{'ko': '89.47', 'emoji': '10.53'}",273.4,512,9886,81,bit.ly/KOK_Subscribe,0.03,1,1.4615384615384615
